Record No.,Date,Name of the student,UCID Number,Class,Mobile Number,Sanctioned Amount,Description of Scheme,Remark,clean_low,sentiment_label,month,year
1,2021-06-23,Suhani Kadam,2877455505,EXTC,9876582825,1914,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,6,2021
2,2020-11-16,Prashansa Nath,2295153363,CSE-DS,9876520393,549,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,11,2020
3,2019-10-29,Anokhi Kher,2343220480,CSE-DS,9876512647,895,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,10,2019
4,2019-07-07,Riddhi Khemka,2359173644,CSE-DS,9876534686,279,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,7,2019
5,2020-05-10,Kanti Sagar,2078852087,EXTC,9876518692,804,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2020
6,2021-12-13,Samarth Rout,2403550149,CSE-AIML,9876568136,887,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2021
7,2020-08-23,Sharda Jindal,2920906746,COMPS,9876539365,1146,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,8,2020
8,2020-11-04,Apoorva Kannaujiya,2910706065,EXTC,9876581440,454,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,11,2020
9,2021-07-10,Hemant Bansal,2413547935,CSE-DS,9876549640,1059,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2021
10,2019-10-16,Sunil Gokhale,2623560224,COMPS,9876536776,844,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,10,2019
11,2024-03-23,Vaagishwari Deo,2857563513,CSE-DS,9876519229,1092,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,3,2024
12,2018-12-04,Ravi Poddar,2522610047,CSE-DS,9876532787,354,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,12,2018
13,2023-12-16,Devashish Baghel,2606280191,EXTC,9876510894,1226,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2023
14,2024-02-24,Murlidhar Kanetkar,2755922511,CSE-AIML,9876593506,901,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2024
15,2023-02-22,Prakhar Banerjee,2659663185,EXTC,9876555864,1088,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,2,2023
16,2018-09-12,Sheetal Puri,2107109609,EXTC,9876571372,192,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2018
17,2018-08-06,Suryakanti Chandra,2208573871,CSE-AIML,9876543598,1593,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,8,2018
18,2020-03-24,Mamta Desai,2412647577,CSE-AIML,9876599443,450,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2020
19,2019-10-05,Amish Gaitonde,2211734246,CSE-AIML,9876529334,249,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,10,2019
20,2021-03-07,Divakar Goel,2350607954,EXTC,9876534405,1754,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,3,2021
21,2019-05-03,Manorama Kadam,2702224646,CSE-AIML,9876593450,1766,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,5,2019
22,2023-01-30,Hamsika Dadhich,2632749568,COMPS,9876526253,925,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,1,2023
23,2017-07-25,Ajeet Malode,2486645691,EXTC,9876551695,1524,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2017
24,2018-06-10,Ravi Shastry,2831621541,CSE-DS,9876574110,1367,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,6,2018
25,2018-08-24,Chandan Rathi,2519940354,COMPS,9876567480,878,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2018
26,2020-09-30,Anupriya Raj,2877077415,EXTC,9876559328,1353,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,9,2020
